index,plate,state,license_type,tow_eligible_date,total_fines,amount_paid,amount_due,violations,fines_in_judgement,total_fines_post_tow_eligible,amount_paid_post_tow_eligible,amount_due_post_tow_eligible,violations_post_tow_eligible,plate_id,license_plate_issuing_state,license_plate_type,first_action_date,last_action_date
2274,02DYZF,FL,PAS,2024-02-01,1200.32,0.0,1200.32,14,1200.32,0.0,0.0,0.0,0.0,,,,,
2701,03AWNM,FL,PAS,2024-12-19,425.38,0.0,425.38,5,425.38,0.0,0.0,0.0,0.0,,,,,
2725,03BCHA,FL,PAS,2024-10-28,2264.01,615.14,1648.87,28,1648.87,314.72,0.0,314.72,4.0,03BCHA,FL,PAS,2024-02-26,2025-01-15
2749,03BJBX,FL,PAS,2024-11-29,807.04,382.18,424.86,10,424.86,0.0,0.0,0.0,0.0,,,,,
2854,03BUVY,FL,PAS,2024-02-27,1273.02,0.0,1273.02,15,1273.02,418.62,0.0,418.62,5.0,,,,,
2899,03DABC,FL,PAS,2024-05-25,813.96,364.5,449.46,10,449.46,0.0,0.0,0.0,0.0,03DABC,FL,PAS,2024-02-08,2024-02-08
2941,03DMDD,FL,PAS,2024-02-16,1528.64,0.0,1528.64,19,1478.64,1013.01,0.0,1013.01,13.0,,,,,
2978,03DZRW,FL,PAS,2024-11-16,822.29,100.0,722.29,11,722.29,78.55,0.0,78.55,1.0,03DZRW,FL,PAS,2025-04-07,2025-04-07
2984,03EDNL,FL,PAS,2024-10-20,486.51,0.0,486.51,6,486.51,0.0,0.0,0.0,0.0,,,,,
2996,03EHUL,FL,PAS,2024-11-11,412.15,0.0,412.15,5,412.15,0.0,0.0,0.0,0.0,03EHUL,FL,PAS,2024-07-24,2024-09-17
3058,040BGSC,TN,PAS,2024-10-07,887.19,0.0,887.19,11,887.19,307.7,0.0,307.7,4.0,,,,,
3211,045RYU,KS,PAS,2024-01-11,9543.28,0.0,9543.28,112,9543.28,3292.77,0.0,3292.77,39.0,045RYU,KS,PAS,2024-03-18,2024-03-18
3287,0482SH,TN,PAS,2024-11-15,999.4,370.33,629.07,13,629.07,0.0,0.0,0.0,0.0,0482SH,TN,PAS,2024-05-29,2025-01-09
3497,04BNQZ,FL,PAS,2024-05-21,1189.74,438.98,750.76,15,750.76,161.65,0.0,161.65,2.0,,,,,
3681,04DUEE,FL,PAS,2024-05-31,739.01,209.82,529.19,9,529.19,0.0,0.0,0.0,0.0,04DUEE,FL,PAS,2024-04-25,2024-06-24
3684,04DVQN,FL,PAS,2024-01-19,688.98,0.0,688.98,8,688.98,0.0,0.0,0.0,0.0,,,,,
3711,04EGAR,FL,PAS,2024-10-28,887.4100000000001,0.0,887.4100000000001,11,812.4100000000001,75.0,0.0,75.0,1.0,,,,,
3731,04ELEJ,FL,PAS,2024-08-04,498.21,0.0,498.21,6,498.21,0.0,0.0,0.0,0.0,,,,,
3779,0507RE,NC,PAS,2024-09-21,917.74,0.0,917.74,11,917.74,0.0,0.0,0.0,0.0,,,,,
3805,0512AED,KS,PAS,2024-10-08,3956.59,0.0,3956.59,49,3956.59,318.1,0.0,318.1,4.0,0512AED,KS,PAS,2024-10-21,2024-10-21
3850,05281CL,MD,PAS,2024-05-07,2242.79,0.0,2242.79,27,2242.79,572.99,0.0,572.99,7.0,,,,,
3985,056BKJC,TN,PAS,2024-05-03,662.95,60.52,602.4300000000001,8,602.4300000000001,247.22,0.0,247.22,3.0,056BKJC,TN,PAS,2024-05-16,2024-05-16
4559,0624AP,NC,PAS,2024-01-10,520.31,0.0,520.3100000000001,6,520.3100000000001,84.78999999999999,0.0,84.79,1.0,,,,,
4637,065BKHC,TN,PAS,2024-08-23,656.5,227.46,429.04,8,429.04,0.0,0.0,0.0,0.0,,,,,
4640,065MXW,OR,PAS,2024-11-07,2172.44,1200.85,971.59,31,971.59,78.68,0.0,78.68,1.0,,,,,
4648,065Y98,NV,PAS,2024-12-26,1673.08,0.0,1673.08,21,1673.08,0.0,0.0,0.0,0.0,,,,,
4735,06A7SJ,AZ,PAS,2024-04-26,425.12,0.0,425.12,5,425.12,0.0,0.0,0.0,0.0,06A7SJ,AZ,PAS,2024-04-23,2024-04-23
4855,06BJGD,FL,PAS,2024-11-06,425.51,0.0,425.51,5,425.51,0.0,0.0,0.0,0.0,,,,,
4966,06BXUY,FL,PAS,2024-04-15,423.56,0.0,423.56,5,423.56,0.0,0.0,0.0,0.0,,,,,
5030,06DNDV,FL,PAS,2024-01-05,2881.24,0.0,2881.24,36,2831.24,2104.22,0.0,2104.22,27.0,,,,,
5052,06DVVK,FL,PAS,2024-03-10,425.64,0.0,425.64,5,425.64,0.0,0.0,0.0,0.0,,,,,
5060,06DYGU,FL,PAS,2024-12-06,992.63,427.38,565.25,14,565.25,78.42,0.0,78.42,1.0,06DYGU,FL,PAS,2024-11-25,2024-11-25
5092,06EKIL,FL,PAS,2024-05-24,824.58,120.72,703.86,10,703.86,0.0,0.0,0.0,0.0,06EKIL,FL,PAS,2024-06-13,2024-06-13
5129,06IFP,FL,PAS,2024-01-06,861.6800000000001,0.0,861.6800000000001,10,861.6800000000001,0.0,0.0,0.0,0.0,,,,,
5147,070BKLH,TN,PAS,2024-11-03,412.38,0.0,412.38,5,412.38,0.0,0.0,0.0,0.0,,,,,
5186,071ZSC,OH,PAS,2024-12-05,562.59,0.0,562.59,7,562.59,0.0,0.0,0.0,0.0,071ZSC,OH,PAS,2024-11-18,2024-11-18
5279,07591CK,MD,PAS,2024-01-31,350.21000000000004,0.0,350.21000000000004,4,350.21000000000004,0.0,0.0,0.0,0.0,07591CK,MD,PAS,2022-06-23,2022-06-23
5333,077BDMK,TN,PAS,2024-09-21,888.71,0.0,888.71,11,813.71,153.55,0.0,153.55,2.0,,,,,
5389,07A8CJ,AZ,PAS,2024-12-14,516.0,98.9,417.1,6,417.1,0.0,0.0,0.0,0.0,07A8CJ,AZ,PAS,2024-10-10,2024-10-12
5456,07AWII,FL,PAS,2024-11-23,583.65,0.0,583.65,7,583.65,157.36,0.0,157.36,2.0,,,,,
5692,07DQHL,FL,PAS,2024-02-15,18814.2,428.13,18386.07,249,15011.07,16224.22,50.0,16174.22,218.0,07DQHL,FL,PAS,2024-04-15,2024-05-13
5693,07DQWJ,FL,PAS,2024-01-18,857.26,0.0,857.26,10,857.26,168.01999999999998,0.0,168.01999999999998,2.0,,,,,
5719,07DYYV,FL,PAS,2024-03-22,1422.58,0.0,1422.58,17,1422.58,661.29,0.0,661.29,8.0,,,,,
5729,07ECIH,FL,PAS,2024-05-30,584.69,0.0,584.69,7,584.69,0.0,0.0,0.0,0.0,,,,,
6076,08AGJM,FL,PAS,2024-06-14,1017.05,509.22,507.83,14,507.83,0.0,0.0,0.0,0.0,,,,,
6081,08AIVX,FL,PAS,2024-09-27,499.77,0.0,499.77,6,499.77,0.0,0.0,0.0,0.0,,,,,
6088,08AMZZ,FL,PAS,2024-04-18,433.31,0.0,433.31,5,433.31,82.58,0.0,82.58,1.0,,,,,
6144,08AZCM,FL,PAS,2024-02-22,600.03,0.0,600.03,7,600.03,0.0,0.0,0.0,0.0,,,,,
6163,08BETT,FL,PAS,2024-09-10,510.95,100.0,410.95,7,410.95,0.0,0.0,0.0,0.0,,,,,
6300,08BXTD,FL,PAS,2024-01-12,1410.61,202.87,1207.74,17,1207.74,742.77,0.0,742.77,9.0,08BXTD,FL,PAS,2024-02-06,2024-09-19
6357,08DHHR,FL,PAS,2024-11-14,354.11,0.0,354.11,4,354.11,0.0,0.0,0.0,0.0,,,,,
6394,08DURU,FL,PAS,2024-12-28,2341.88,198.29,2143.59,31,1518.59,1313.58,0.0,1313.58,18.0,08DURU,FL,PAS,2025-03-13,2025-03-13
6399,08DVUG,FL,PAS,2024-06-30,862.8,125.17,737.63,11,737.63,240.2,0.0,240.2,3.0,,,,,
6407,08DYSK,FL,PAS,2024-06-07,948.82,217.57,731.25,12,731.25,159.05,0.0,159.05,2.0,08DYSK,FL,PAS,2024-05-21,2024-10-16
6450,08EIQN,FL,PAS,2024-09-30,638.88,226.37,412.51,8,412.51,0.0,0.0,0.0,0.0,,,,,
6604,09428CM,MD,PAS,2024-11-01,564.54,0.0,564.54,7,564.54,0.0,0.0,0.0,0.0,,,,,
7027,09DAEQ,FL,PAS,2024-08-27,818.79,0.0,818.79,11,593.79,304.59000000000003,0.0,304.59000000000003,5.0,,,,,
7078,09DPBF,FL,PAS,2024-04-26,508.74,0.0,508.74,6,508.74,0.0,0.0,0.0,0.0,,,,,
7100,09DWQF,FL,PAS,2024-11-28,1289.63,45.41,1244.22,16,1244.22,157.62,0.0,157.62,2.0,09DWQF,FL,PAS,2024-05-08,2024-11-13
7114,09EDLN,FL,PAS,2024-09-18,811.11,0.0,811.11,10,811.11,159.57,0.0,159.57,2.0,,,,,
7380,0APAV2,CT,PAS,2024-11-11,3319.27,550.0,2769.27,46,2769.27,1728.75,0.0,1728.75,22.0,,,,,
7477,0AUBK9,CT,PAS,2024-03-14,521.35,0.0,521.35,6,521.35,165.68,0.0,165.68,2.0,,,,,
7590,0BX6593C,NC,PAS,2024-12-24,1573.12,175.03,1398.09,20,1248.09,913.66,0.0,913.66,12.0,,,,,
7606,0CJN1,UT,PAS,2024-11-06,1199.27,105.87,1093.4,15,1093.4,79.07,0.0,79.07,1.0,0CJN1,UT,PAS,2024-11-26,2024-11-26
7653,0HA8KM,AZ,PAS,2024-08-10,585.32,47.48,537.84,7,537.84,79.59,0.0,79.59,1.0,0HA8KM,AZ,PAS,2024-05-28,2024-05-28
7790,0TA7MM,AZ,PAS,2024-03-12,515.63,0.0,515.63,6,515.63,0.0,0.0,0.0,0.0,,,,,
7865,0ZZYPR0,GA,PAS,2024-01-23,601.59,0.0,601.59,7,601.59,245.27,0.0,245.27,3.0,,,,,
8084,10095NE,NY,COM,2024-09-02,2631.2,1975.37,655.83,36,655.83,0.0,0.0,0.0,0.0,,,,,
8420,1018EMTP,NY,SRF,2024-01-13,436.17,0.0,436.17,5,436.17,0.0,0.0,0.0,0.0,1018EMTP,NY,SRF,2018-08-13,2018-08-13
8474,101BP6,NY,MOT,2024-08-15,493.01,0.0,493.01,6,493.01,0.0,0.0,0.0,0.0,,,,,
8727,102949,DE,PAS,2024-04-18,658.06,174.04,484.02,8,484.02,77.38,0.0,77.38,1.0,102949,DE,PAS,2024-02-22,2024-02-22
8767,102BK3,NY,MOT,2024-07-13,499.25,0.0,499.25,6,499.25,0.0,0.0,0.0,0.0,,,,,
8771,102BK9,NY,MOT,2024-06-12,1550.04,0.0,1550.04,19,1550.04,635.29,0.0,635.29,8.0,,,,,
8903,10355MN,NY,COM,2024-09-29,891.3199999999999,217.37,673.95,11,673.95,229.93,0.0,229.93,3.0,10355MN,NY,COM,2025-03-19,2025-03-19
9015,103BB2,NY,MOT,2024-11-16,417.84,0.0,417.84,5,417.84,0.0,0.0,0.0,0.0,,,,,
9231,10460NC,NY,COM,2024-01-30,2907.41,2032.39,875.02,35,875.02,0.0,0.0,0.0,0.0,10460NC,NY,COM,2022-07-26,2022-07-26
9350,104BK7,NY,MOT,2024-06-12,2550.1,0.0,2550.1,31,2550.1,813.45,0.0,813.45,10.0,,,,,
9791,10667NF,NY,COM,2024-10-02,488.13,0.0,488.13,6,488.13,0.0,0.0,0.0,0.0,,,,,
9885,106AMW,NY,ORG,2024-02-03,515.76,0.0,515.76,6,515.76,160.61,0.0,160.61,2.0,,,,,
9960,10701TV,NY,TOW,2024-09-02,651.28,0.0,651.28,8,651.28,158.53,0.0,158.53,2.0,,,,,
9974,10708TV,NY,TOW,2024-06-25,669.24,0.0,669.24,8,669.24,0.0,0.0,0.0,0.0,,,,,
9977,10709TV,NY,TOW,2024-02-24,7545.24,0.0,7545.24,91,7545.24,5841.73,0.0,5841.73,71.0,,,,,
9990,10714TV,NY,TOW,2024-06-28,2300.41,0.0,2300.41,28,2300.41,648.16,0.0,648.16,8.0,10714TV,NY,TOW,2025-02-18,2025-02-18
9995,10716NE,NY,COM,2024-04-06,1518.29,0.0,1518.29,18,1518.29,248.77999999999997,0.0,248.77999999999997,3.0,10716NE,NY,COM,2023-12-05,2023-12-05
10412,10883TV,NY,TOW,2024-12-04,5837.24,325.0,5512.24,76,5512.24,2333.88,0.0,2333.88,30.0,,,,,
10487,108BP3,NY,MOT,2024-11-07,564.02,0.0,564.02,7,564.02,0.0,0.0,0.0,0.0,,,,,
10628,10937TV,NY,TOW,2024-06-13,1512.4,927.84,584.56,20,584.56,81.67,0.0,81.67,1.0,10937TV,NY,TOW,2024-05-28,2024-05-28
10698,10962TV,NY,TOW,2024-10-06,1678.24,656.9200000000001,1021.32,22,971.32,525.65,0.0,525.65,7.0,,,,,
11062,10BRHJ,FL,PAS,2024-12-17,1490.31,833.54,656.77,20,456.77,275.95,0.0,275.95,5.0,10BRHJ,FL,PAS,2023-08-07,2024-09-05
11097,10BVIB,FL,PAS,2024-11-14,738.32,129.83,608.49,9,608.49,152.35000000000002,15.08,137.27,2.0,10BVIB,FL,PAS,2025-05-29,2025-05-29
11198,10DHEU,FL,PAS,2024-04-23,437.21,0.0,437.21,5,437.21,0.0,0.0,0.0,0.0,,,,,
11215,10DMVB,FL,PAS,2024-03-30,1673.23,75.74,1597.49,20,1597.49,331.23,0.0,331.23,4.0,10DMVB,FL,PAS,2024-04-03,2024-04-03
11228,10DUBI,FL,PAS,2024-01-23,2555.5299999999997,0.0,2555.5299999999997,30,2555.5299999999997,505.49,0.0,505.49,6.0,,,,,
11696,11098BT,NY,OMR,2024-08-15,2918.27,687.9300000000001,2230.3399999999997,36,2230.3399999999997,305.78999999999996,0.0,305.78999999999996,4.0,,,,,
11748,110BV2,NY,MOT,2024-10-22,2092.74,0.0,2092.74,26,2092.74,0.0,0.0,0.0,0.0,,,,,
11814,11112NB,NY,COM,2024-03-12,694.97,257.11,437.86,8,437.86,0.0,0.0,0.0,0.0,,,,,
12331,112VN,NY,SRF,2024-02-29,919.84,238.11,681.73,11,681.73,233.42,30.57,202.85,3.0,112VN,NY,SRF,2015-07-07,2025-03-13
12338,112YI,FL,PAS,2024-12-03,1106.15,529.13,577.02,14,577.02,0.0,0.0,0.0,0.0,,,,,
12466,11358NA,NY,COM,2024-06-12,753.1700000000001,238.61,514.56,9,439.56,154.56,27.97,126.59,2.0,11358NA,NY,COM,2024-08-29,2024-08-29
12533,11392CL,MD,PAS,2024-01-22,2337.61,1288.98,1048.63,32,1048.63,83.88,0.0,83.88,1.0,11392CL,MD,PAS,2023-03-29,2024-03-13
12867,114BK9,NY,MOT,2024-10-10,426.68,0.0,426.68,5,426.68,0.0,0.0,0.0,0.0,,,,,
12875,114BV2,NY,MOT,2024-11-05,724.89,0.0,724.89,9,724.89,0.0,0.0,0.0,0.0,,,,,
12996,115361B,MT,PAS,2024-03-04,759.86,0.0,759.86,9,759.86,244.1,0.0,244.1,3.0,,,,,
13196,115AK9,NY,MOT,2024-08-05,350.73,0.0,350.73,4,350.73,0.0,0.0,0.0,0.0,,,,,
13442,11656MN,NY,COM,2024-04-18,634.69,0.0,634.69,8,584.69,209.44,0.0,209.44,3.0,,,,,
13689,1171NV,SC,PAS,2024-06-05,676.37,0.0,676.37,8,676.37,0.0,0.0,0.0,0.0,,,,,
13754,11744MP,NY,COM,2024-02-28,1279.78,0.0,1279.78,15,1279.78,0.0,0.0,0.0,0.0,,,,,
13764,1174HH,NJ,PAS,2024-03-08,353.59000000000003,0.0,353.59000000000003,4,353.59000000000003,0.0,0.0,0.0,0.0,,,,,
13920,117BLMG,TN,PAS,2024-07-03,1060.85,150.0,910.85,13,910.85,161.78,0.0,161.78,2.0,,,,,
14147,1188VE,ME,PAS,2024-04-04,519.66,0.0,519.66,6,519.66,83.1,0.0,83.1,1.0,1188VE,ME,PAS,2024-08-28,2024-08-30
14514,11ADPZ,FL,PAS,2024-05-30,3143.33,610.53,2532.8,39,2532.8,1761.14,15.1,1746.04,22.0,11ADPZ,FL,PAS,2023-06-15,2024-09-19
14518,11AEDDP,AL,PAS,2024-09-10,495.3,100.72,394.58,6,394.58,0.0,0.0,0.0,0.0,11AEDDP,AL,PAS,2024-03-12,2024-07-11
14773,11BWKP,FL,PAS,2024-11-06,1024.66,0.0,1024.66,13,1024.66,380.79,0.0,380.79,5.0,,,,,
14839,11DELI,FL,PAS,2024-05-07,1243.51,75.04,1168.47,15,1168.47,79.2,0.0,79.2,1.0,,,,,
14879,11DVVR,FL,PAS,2024-07-25,1557.97,0.0,1557.97,19,1557.97,162.04,0.0,162.04,2.0,,,,,
14890,11DZFD,FL,PAS,2024-09-27,3157.99,366.14,2791.85,41,2616.85,1541.13,46.94,1494.19,21.0,11DZFD,FL,PAS,2025-07-09,2025-07-09
14917,11EIME,FL,PAS,2024-12-09,632.9100000000001,0.0,632.9100000000001,8,557.9100000000001,228.98,0.0,228.98,3.0,,,,,
15145,12025NF,NY,COM,2024-09-21,1425.32,591.86,833.46,18,833.46,470.67,139.7,330.97,6.0,,,,,
15361,120BR9,NY,MOT,2024-12-25,404.94,0.0,404.94,5,404.94,0.0,0.0,0.0,0.0,,,,,
15485,12133TV,NY,TOW,2024-09-05,654.9200000000001,0.0,654.9200000000001,8,654.9200000000001,0.0,0.0,0.0,0.0,,,,,
15702,12205TV,NY,TOW,2024-02-07,5744.8,941.82,4802.98,69,4802.98,2336.16,0.0,2336.16,28.0,12205TV,NY,TOW,2024-05-02,2024-05-02
15860,122654,DE,PAS,2024-01-04,2248.5,1115.18,1133.32,28,1058.32,458.03,15.54,442.49,6.0,122654,DE,PAS,2024-01-11,2025-04-08
15924,12291TV,NY,TOW,2024-01-04,1087.24,50.0,1037.24,13,1037.24,0.0,0.0,0.0,0.0,12291TV,NY,TOW,2024-05-16,2024-05-16
15931,12296NE,NY,COM,2024-11-27,857.99,301.15999999999997,556.83,11,556.83,150.04000000000002,0.0,150.04000000000002,2.0,12296NE,NY,COM,2024-12-10,2024-12-10
15940,1229BB6,AL,PAS,2024-10-06,1288.91,0.0,1288.91,16,1288.91,235.78,0.0,235.78,3.0,,,,,
15977,122BK8,NY,MOT,2024-09-11,816.7,0.0,816.7,24,816.7,0.0,0.0,0.0,0.0,,,,,
15984,122BP9,NY,MOT,2024-06-21,908.9,80.24,828.66,11,828.66,81.54,0.0,81.54,1.0,,,,,
16200,12370NA,NY,COM,2024-12-01,351.77,0.0,351.77,4,351.77,0.0,0.0,0.0,0.0,,,,,
16392,1242HK,NJ,PAS,2024-08-21,815.92,0.0,815.92,10,815.92,75.69,0.0,75.69,1.0,,,,,
16450,12456NA,PA,PAS,2024-09-08,995.12,0.0,995.12,13,895.12,257.1,0.0,257.1,4.0,,,,,
16453,12458NB,NY,COM,2024-08-14,420.4,30.36,390.04,5,390.04,0.0,0.0,0.0,0.0,,,,,
16484,12471TV,NY,TOW,2024-04-15,673.25,75.0,598.25,8,598.25,163.86,0.0,163.86,2.0,,,,,
16571,124BV8,NY,MOT,2024-11-28,1037.01,0.0,1037.01,13,1037.01,78.68,0.0,78.68,1.0,,,,,
16749,12556CF,NY,OMT,2024-04-21,590.15,0.0,590.15,7,590.15,157.36,0.0,157.36,2.0,,,,,
17118,126687,DE,PAS,2024-07-20,509.39,107.44,401.95,6,401.95,0.0,0.0,0.0,0.0,,,,,
17156,1268RN,NY,SRF,2024-03-01,904.61,0.0,904.61,11,904.61,549.46,0.0,549.46,7.0,,,,,
17198,126AS0,NY,MOT,2024-11-30,2427.25,1864.53,562.72,31,562.72,0.0,0.0,0.0,0.0,,,,,
17208,126BH0,NY,MOT,2024-05-14,4901.26,50.0,4851.26,63,4801.26,4480.69,50.0,4430.69,58.0,,,,,
17210,126BH5,NY,MOT,2024-12-23,553.8,151.43,402.37,7,402.37,0.0,0.0,0.0,0.0,126BH5,NY,MOT,2024-10-15,2024-10-15
17471,127DEA,NY,SPO,2024-04-01,517.06,0.0,517.06,6,517.06,0.0,0.0,0.0,0.0,,,,,
17570,12824CF,NY,OMT,2024-06-29,558.75,125.0,433.75,7,433.75,0.0,0.0,0.0,0.0,,,,,
17759,128BR9,NY,MOT,2024-09-09,2165.96,0.0,2165.96,27,2165.96,1513.51,0.0,1513.51,19.0,,,,,
17871,1293ZN,ME,PAS,2024-04-11,592.75,0.0,592.75,7,592.75,0.0,0.0,0.0,0.0,,,,,
17906,12961CF,NY,OMT,2024-01-05,441.24,0.0,441.24,5,441.24,0.0,0.0,0.0,0.0,,,,,
18020,129BK0,NY,MOT,2024-08-30,414.2,0.0,414.2,5,414.2,0.0,0.0,0.0,0.0,,,,,
18408,12DTTS,FL,PAS,2024-10-15,1883.38,579.92,1303.46,24,1178.46,588.35,0.0,588.35,8.0,12DTTS,FL,PAS,2024-08-06,2025-08-26
18410,12DV16,MD,PAS,2024-02-01,1709.82,546.24,1163.58,21,1088.58,783.62,0.0,783.62,10.0,12DV16,MD,PAS,2023-06-22,2025-07-09
18428,12EBME,FL,PAS,2024-12-07,412.25,0.0,412.25,5,412.25,0.0,0.0,0.0,0.0,,,,,
18454,12EKSL,FL,PAS,2024-12-10,401.85,0.0,401.85,5,401.85,0.0,0.0,0.0,0.0,,,,,
18704,13058NE,NY,COM,2024-03-26,682.87,0.0,682.87,8,682.87,0.0,0.0,0.0,0.0,,,,,
18804,13098CF,NY,OMT,2024-11-11,2287.14,951.67,1335.47,30,1110.47,991.0,306.52,684.48,14.0,13098CF,NY,OMT,2025-08-07,2025-08-07
18956,13122BT,NY,OMR,2024-09-26,2072.0,450.04,1621.96,27,1621.96,0.0,0.0,0.0,0.0,,,,,
19143,13191CF,NY,OMT,2024-04-13,351.64,0.0,351.64,4,351.64,0.0,0.0,0.0,0.0,,,,,
19158,13194MK,NY,COM,2024-02-27,753.66,75.69,677.97,10,677.97,157.23000000000002,0.0,157.23000000000002,3.0,,,,,
19371,13249NB,NY,COM,2024-07-08,1232.03,275.0,957.03,17,957.03,582.4300000000001,50.0,532.4300000000001,8.0,,,,,
19452,13276TV,NY,TOW,2024-06-06,668.7,152.68,516.02,8,516.02,0.0,0.0,0.0,0.0,,,,,
19461,1327HK,NJ,PAS,2024-04-16,2882.01,0.0,2882.01,36,2882.01,2119.81,0.0,2119.81,27.0,,,,,
19548,132AS6,NY,MOT,2024-02-11,1501.78,0.0,1501.78,18,1501.78,817.22,0.0,817.22,10.0,,,,,
19587,132MRS,OR,PAS,2024-06-08,421.09,0.0,421.09,5,421.09,0.0,0.0,0.0,0.0,,,,,
19785,133BK5,NY,MOT,2024-07-15,417.71,0.0,417.71,5,417.71,0.0,0.0,0.0,0.0,,,,,
19790,133BR5,NY,MOT,2024-09-20,490.02,0.0,490.02,6,490.02,0.0,0.0,0.0,0.0,,,,,
19907,1344ZP,ME,PAS,2024-02-09,1989.61,416.5,1573.11,25,1573.11,960.54,0.0,960.54,12.0,,,,,
19956,13473TV,NY,TOW,2024-12-22,738.54,0.0,738.54,9,738.54,76.08,0.0,76.08,1.0,,,,,
20028,134AM8,NY,MOT,2024-08-16,1290.9199999999998,229.67,1061.25,16,1061.25,160.09,0.0,160.09,2.0,,,,,
20218,13556TV,NY,TOW,2024-01-11,1952.75,737.07,1215.68,26,1215.68,422.13,0.0,422.13,5.0,,,,,
20545,136772,DE,PAS,2024-06-18,3564.34,1428.8,2135.54,45,2135.54,892.91,0.0,892.91,11.0,136772,DE,PAS,2024-06-03,2024-07-22
20553,13680CF,NY,OMT,2024-01-09,606.79,0.0,606.79,7,606.79,83.62,0.0,83.62,1.0,,,,,
20560,13682CF,NY,OMT,2024-01-09,1965.38,0.0,1965.38,23,1965.38,507.83,0.0,507.83,6.0,,,,,
20568,13686CF,NY,OMT,2024-08-29,879.96,302.68,577.28,11,577.28,0.0,0.0,0.0,0.0,,,,,
20608,136AHX,SC,PAS,2024-09-17,570.78,0.0,570.78,7,570.78,0.0,0.0,0.0,0.0,,,,,
